전철역코드,전철역명,전철명명(영문),호선,외부코드,x 좌표,y 좌표
0150,서울역,Seoul Station,01호선,133,126.9725546,37.5571595
0151,시청,City Hall,01호선,132,126.9769832,37.5654386
0152,종각,Jonggak,01호선,131,126.9832397,37.5702141
0153,종로3가,Jongno 3(sam)-ga,01호선,130,126.9920293,37.5704266
0154,종로5가,Jongno 5(o)-ga,01호선,129,127.0019167,37.5709075
0155,동대문,Dongdaemun,01호선,128,127.0111671,37.5717776
0156,신설동,Sinseol-dong,01호선,126,127.0250937,37.5747188
0157,제기동,Jegi-dong,01호선,125,127.0346906,37.5782015
0158,청량리,Cheongnyangni,01호선,124,127.0450512,37.5802272
0159,동묘앞,Dongmyo,01호선,127,127.0167512,37.5733722
1002,남영,Namyeong,01호선,134,126.9713325,37.5405646
1003,용산,Yongsan,01호선,135,126.9647415,37.5297718
1004,노량진,Noryangjin,01호선,136,126.9483698,37.5158028
1005,대방,Daebang,01호선,137,126.926303,37.5133255
1006,영등포,Yeongdeungpo,01호선,139,126.907666,37.515668
1007,신도림,Sindorim,01호선,140,126.8910805,37.5087702
1015,회기,Hoegi,01호선,123,127.0580466,37.5897449
1016,외대앞,Hankuk Univ. of Foreign Studies,01호선,122,127.0630588,37.5954136
1017,신이문,Sinimun,01호선,121,127.0695704,37.6042734
1018,석계,Seokgye,01호선,120,127.0656472,37.6153059
1019,광운대,Kwangwoon Univ.,01호선,119,127.0617632,37.6230342
1020,월계,Wolgye,01호선,118,127.0587293,37.6321089
1021,녹천,Nokcheon,01호선,117,127.051393,37.644748
1022,창동,Chang-dong,01호선,116,127.0477009,37.6531955
1032,신길,Singil,01호선,138,126.9172249,37.5170318
1401,봉명,Bongmyeong,01호선,P170,127.1358356,36.8012573
1402,쌍용,Ssangyong,01호선,P171,127.1213504,36.7937242
1403,아산,Asan,01호선,P172,127.1041152,36.7920474
1405,배방,Baebang,01호선,P174,127.0529047,36.7775632
1407,온양온천,Onyang oncheon,01호선,P176,127.0034511,36.7804683
1408,신창,Sinchang,01호선,P177,126.950127,36.7692218
1701,구로,Guro,01호선,141,126.8814915,37.5024345
1702,가산디지털단지,Gasan Digital Complex,01호선,P142,126.8826247,37.4815789
1703,금천구청,Geumcheon-Gu Office,01호선,P144,126.89475,37.4554679
1704,석수,Seoksu,01호선,P145,126.9025292,37.4343424
1705,관악,Gwanak,01호선,P146,126.9091211,37.4188018
1706,안양,Anyang,01호선,P147,126.9230027,37.401435
1707,명학,Myeonghak,01호선,P148,126.9352657,37.3852172
1708,금정,Geumjeong,01호선,P149,126.9433872,37.3722879
1709,군포,Gunpo,01호선,P150,126.9484849,37.3540761
1710,의왕,Uiwang,01호선,P152,126.948383,37.3211118
1711,성균관대,Sungkyunkwan Univ.,01호선,P153,126.9721787,37.3001965
1712,화서,Hwaseo,01호선,P154,126.9891996,37.2848937
1713,수원,Suwon,01호선,P155,127.0002404,37.2656796
1714,독산,Doksan,01호선,P143,126.8895142,37.4659873
1715,세류,Seryu,01호선,P156,127.0140994,37.2442527
1716,병점,Byeongjeom,01호선,P157,127.0332434,37.2068018
1717,세마,Sema,01호선,P158,127.0430625,37.1869918
1718,오산대,Osan College,01호선,P159,127.0630648,37.1693006
1719,오산,Osan,01호선,P160,127.0668449,37.1458952
1720,진위,Jinwi,01호선,P161,127.062367,37.1099375
1721,송탄,Songtan,01호선,P162,127.0542998,37.0752834
1722,서정리,Seojeong-ri,01호선,P163,127.0530063,37.0570034
1723,지제,Jije,01호선,P164,127.0704448,37.0188067
1724,평택,Pyeongtaek,01호선,P165,127.0846944,36.9909191
1725,성환,Seonghwan,01호선,P166,127.126942,36.9166823
